Year,Country,Country Url,Region Code,Region,Rank Per Region,Overall Rank,Happiness Score,Happiness Status,GDP per capita,Family,Social Support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,alpha-2,alpha-3
2015,Switzerland,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,150,EUROPE,Europe,1,7.5870,Green,1.3965,1.3495,0.0000,0.9414,0.6656,0.2968,0.4198,CH,CHE
2015,Iceland,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,150,EUROPE,Europe,2,7.5610,Green,1.3023,1.4022,0.0000,0.9478,0.6288,0.4363,0.1414,IS,ISL
2015,Denmark,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,150,EUROPE,Europe,3,7.5270,Green,1.3255,1.3606,0.0000,0.8746,0.6494,0.3414,0.4836,DK,DNK
2015,Norway,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,150,EUROPE,Europe,4,7.5220,Green,1.4590,1.3310,0.0000,0.8852,0.6697,0.3470,0.3650,NO,NOR
2015,Canada,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,19,AMERICAS,Americas,5,7.4270,Green,1.3263,1.3226,0.0000,0.9056,0.6330,0.4581,0.3296,CA,CAN
2015,Finland,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,150,EUROPE,Europe,6,7.4060,Green,1.2902,1.3183,0.0000,0.8891,0.6417,0.2335,0.4137,FI,FIN
2015,Netherlands,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,150,EUROPE,Europe,7,7.3780,Green,1.3294,1.2802,0.0000,0.8928,0.6158,0.4761,0.3181,NL,NLD
2015,Sweden,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,150,EUROPE,Europe,8,7.3640,Green,1.3317,1.2891,0.0000,0.9109,0.6598,0.3626,0.4384,SE,SWE
2015,New Zealand,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg,9,OCEANIA,Oceania,9,7.2860,Green,1.2502,1.3197,0.0000,0.9084,0.6394,0.4750,0.4292,NZ,NZL
2015,Australia,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,9,OCEANIA,Oceania,10,7.2840,Green,1.3336,1.3092,0.0000,0.9316,0.6512,0.4356,0.3564,AU,AUS
2015,Israel,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,142,ASIA,Asia,11,7.2780,Green,1.2286,1.2239,0.0000,0.9139,0.4132,0.3317,0.0779,IL,ISR
2015,Costa Rica,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg,19,AMERICAS,Americas,12,7.2260,Green,0.9558,1.2379,0.0000,0.8603,0.6338,0.2550,0.1058,CR,CRI
2015,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150,EUROPE,Europe,13,7.2000,Green,1.3372,1.2970,0.0000,0.8904,0.6243,0.3309,0.1868,AT,AUT
2015,Mexico,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,19,AMERICAS,Americas,14,7.1870,Green,1.0205,0.9145,0.0000,0.8144,0.4818,0.1407,0.2131,MX,MEX
